abide by,(規則などに)従う [=live by]
act up,(興奮して)暴れる、(機械などが)異常に作動する [=go rampant]
add up to,結局〜になる [=amount to]、〜につながる [=lead to]
adhere to,〜に従う、〜に固執する [=cling to]
atone for,〜を償う [=expiate]
attribute A to B,AはBに起因すると考える
bail out,(企業などを)救済する、〜を保釈する
bank on,〜を当てにする [=depend on]
barge into,〜にどかどか入り込む [=thrust into]、(会話などに)割り込む
bawl out,〜を厳しく叱りとばす
be bogged down in,〜に行き詰まる
be cut out for,〜に向いている [=have talent for]
be geared up for,〜の準備をする
be keyed up,興奮している、緊張している [=be strung up]
bear down on,〜に真剣に対処する
bear out,(仮説などを)証明する [=support, back up]
bear the brunt of,〜の矢面に立つ
beat up,〜をさんざん殴る [=assault, attack]
beef about,〜のことで文句を言う [=complain about]
beef up,〜を強化する [=strengthen]
belt out,〜を大声で歌う [=sing out loud]
black out,(発表などを)抑える [=suppress]、一時的に意識を失う [=faint]
blare out,鳴り響く [=resonate]
blot out,〜を消し去る [=efface, erase]
blow over,(嵐・困難などが)過ぎ去る、(うわさが)忘れ去られる
boil down to,〜に帰着する [=end up with]
botch up,〜をしくじる [=mess up, foul up]
bow out,辞任する
box up,〜を箱詰めする
branch out into,〜に事業を拡張する [=extend one's business into]
break away from,〜から脱却する [=pull out of]
breeze into,〜にすっと入ってくる
brim over with,〜でみなぎる [=be full of]
browse through,(本を)拾い読みする
bubble over with,〜で満ちあふれる
buckle down to,〜に本腰を入れる
bundle up,〜を暖かく包み込む
bury oneself in,〜に没頭する [=be engrossed in]
butt in,口を挟む [=horn in, cut in]
butter up,〜にごまをする [=flatter, apple-polish]
buy off,〜を買収する [=bribe]
cart A off to B,AをBへ連れ去る
carve up,〜を分割する [=divide]
cash in on,〜に乗じる [=take advantage of, capitalize on]
cast one's mind back to,(昔の)ことを思い起こす
cave in to,〜に屈する [=give in]
chalk up,〜の記録を達成する [=record]
change over,交代する [=take turns]
chase up,〜を探し出す [=ferret out]
choke back,〜をこらえる
clam up,黙り込む [=fall silent]
claw back,〜を徐々に取り戻す
come in for,(非難などを)受ける [=be subjected to]
cook up,〜をでっち上げる [=fabricate]
cop out of,〜を回避する [=skirt around]
cordon off,〜を封鎖する [=block off]
crack down on,〜を厳しく取り締まる
crack up,精神的に参る、笑いこける
crank out,〜を機械的に量産する
creep into,〜にそっと忍び込む [=sneak into]
crop up,(問題などが)急に持ち上がる [=come up]
crouch down,しゃがむ [=hunker down, squat down]
dabble in,〜に手を出す
dash off,〜を一気に仕上げる
deal out,〜を分配する [=share out]
delegate A to B,AをBに委ねる
descend on,〜に押しかける、〜を襲撃する
dispense with,〜なしで済ませる [=do without]
distract A from B,AをBから気を散らす
dote on,〜を溺愛する
drag off,〜を無理に連れていく
drag on,(会議などが)だらだら長引く [=run on]
draw in,〜を勧誘する [=introduce]
drift off to sleep,うとうと眠る [=fall asleep]
drum up,(支持・取引などを)懸命に得ようとする
dwell on,〜を力説する、〜を長々と話す
ease off,(雨などが)小降りになる、和らぐ、緩む [=calm down]
ease out,〜を辞任に追い込む [=arrange the dismissal of]
egg ~ on,(人に)けしかける [=abet]
eke out,(生計を)何とかして立てる、〜の不足分を補う [=make up for]
face off,対決する [=take on]
factor in,〜を考慮に入れる [=allow for, take ~ into consideration]
fade in,〜を次第に明るくする
fall back on,(いざという時に)〜に頼る
fall flat,失敗となる [=get nowhere]
fall out with,〜と仲たがいする [=disagree with]
fall through,失敗に終わる [=fail]
fan out,四方八方に散らばる
farm out,〜を下請けに出す [=contract out]
fend for oneself,自力で生きていく [=stand up for oneself]
fend off,(質問を)かわす
ferret out,〜を探し出す
feud about,〜をめぐって反目する
fill A in on B,AにBに関する情報を伝える
firm up,〜を確実なものにする [=ensure]
fizzle out,途中で失敗に終わる
flare up (at),(〜に)むきになって怒る [=fly into a temper]
flash back to,〜を急に思い出す
flesh out,〜に肉付けする、〜を具体化する [=embody]
flip out,かっとなる、ひどく興奮する
float around,広まる [=get about, gain ground]
flood in,殺到する [=pour in]
fly off the handle,かっとなる [=hit the roof]
follow through,〜を最後までやり通す、〜に最後まで従う
foreclose on,〜に担保権を行使する
fork out,(大金を)支払う
freeze up,態度を固くする、(表情などが)こわばる
fritter away,〜を無駄遣いする [=waste, squander]
gain on,〜に追いつく [=catch up with]
gang up on,〜に集団で攻撃する
get A across to B,AをBに理解させる
glance off,〜をかすめる
gloss over,〜を取り繕う
grope for,〜を手さぐりで捜す
hail A as B,AをBとして迎え入れる
hammer out,〜を案出する
hang out in,〜でぶらぶらして時を過ごす
harp on,〜について繰り返し話す
have it out with,〜と議論して決着をつける
head off,〜を阻止する [=prevent]
hem in,〜を囲む
hike up,〜を引き上げる
hinge on,〜次第である
hit it off with,〜と馬が合う [=get along with]
hit the roof,激怒する
hold down,(職・地位に)とどまっている
hold out for,〜を要求して譲らない
hold over,〜を延期する [=carry over]
hole up,隠れる
horse around,ばか騒ぎをする
huddle with,〜と相談する、〜と密談する
hunker down,身を潜める
identify with,〜に共感する [=sympathize with]
impose on,〜を押しかける、つけ込む
intercede with,〜に取りなす
interfere with,〜を妨げる、〜に干渉する
iron out,〜を解決する [=solve, resolve]
jack up,(価格を)引き上げる
keep after,〜に催促し続ける
kick up,(騒ぎなどを)引き起こす、(ほこりなどを)けたてる
knuckle down,真剣に取り組む [=adopt a serious stance]
knuckle under,屈服する [=give in]
lag behind,〜に後れを取る
lash out at,〜を痛烈に非難する
launch into,〜を始める [=start, begin]
lay it on thick,大げさに言う
leaf through,〜をばらばらめくって目を通す
lean on,〜に圧力をかける [=put pressure on]
let down,〜を失望させる [=disappoint]
level off,横ばいになる
level with,〜に対して率直に言う
live down,(失敗を)人に忘れさせる、(悲しみなどを)忘れ去る
lop off,〜を切り取る [=trim off]
make off with,〜を奪い去る [=steal]
mark down,〜を値下げする [=lower the prices]
mark out,〜を区画する
mark up,〜を値上げする
measure out,〜を量り分ける
measure up to,(基準などに)達する
mill about,〜を動き回る
mull over,〜を熟考する [=chew over]
muscle in on,〜に強引に入り込む
nail down,(日取りを)確定する [=determine]
narrow down,〜を絞り込む
nibble at,〜を少しずつかじる
nod off,うとうとして眠り込む [=doze off]
nose around,〜を捜し回る
nose out,〜に僅差で勝つ
opt for,〜を選ぶ [=choose, select]
own up to,〜を白状する [=confess to]
pack off,〜を送り出す [=send]
palm A off on B,AをBにだまして押し付ける
pan out,成功する [=come off, come to the top]
paper over,〜を取り繕う [=cover up]
parcel out,〜を分配する、〜を分け与える [=dish out]
pass down,(後世に)〜を伝える [=hand down]
pass off A as B,AをBと偽る
pass up,(機会などを)逃す
patch up,〜を急いでまとめる、〜に応急処置をする
pay off,元が取れる、(借金などを)完済する
pep up,〜を盛り上げる [=ginger up]
perk up,元気になる [=cheer up]
peter out,次第に消滅する
phase out,〜を段階的に廃止する
piece together,(事実・情報などを)つなぎ合わせる [=put together]
pile up,たまる
pin down,〜を突き止める [=run down]
pine for,〜を切望する [=covet]
pipe down,静かにする [=quiet down, belt up]
pitch in,協力する [=cooperate]
play down,〜をもみ消す [=rub out]、〜を軽視する [=make light of]
play off,(勝敗のつかなかった試合の)勝負をつける
pluck up,(勇気を)奮い起こす
plug away at,〜にこつこつ励む
plunge into,〜に飛び込む [=dive into]、〜をし始める
poke around,探し回る、引っかき回す
pore over,〜を熟読する、〜を熟考する
pull off,〜をやってのける
pull through,(危機などを)乗り切る
put down A on B,AをBの頭金として払う
put down A to B,AをBのせいにする [=attribute A to B]
puzzle over,〜に頭を悩ませる [=rack one's brain over]
rack up,〜を獲得する [=win]
rail against,〜を激しく非難する [=lash out]
rake off,〜の分け前を(不正に)取る [=misappropriate]
rally around,結集する [=gather round]、〜の味方につく [=take sides with]
rattle off,〜をすらすらと言う[書く、行う]
rifle through,〜をくまなく探す
rip through,〜を突き抜けて進む [=hit directly]
root for,〜を応援する [=cheer for]
rope in,〜を駆り出す
rub off on,〜に良い影響を与える
ruminate over,〜について思いめぐらす
run off with,〜を持ち逃げする
run up,(借金などを)重ねる [=pile up, accumulate]
rustle up,〜を急いで準備する
scrape by on,〜で何とか暮らしていく [=live from hand to mouth on]
scrape together,〜を苦労してかき集める
scratch out,(生計を)どうにかこうにか立てる [=scrape by]
scrub up,徹底的に洗浄する
scuffle with,〜と乱闘する
set forth,〜を説明する [=account for]
settle on,〜を決める [=decide on]
shell out,(金額を)しぶしぶ支払う [=fork out]
shove around,〜をこき使う [=walk over]
show out,〜を送り出す
shrug off,〜を気にしない [=not care]
shy away from,〜を避ける、〜を敬遠する
simmer down,気持ちを静める [=calm down]
sink in to,〜に十分に理解される [=be deeply understood]
siphon off,(資金などを)流用する、〜を吸い上げる
skim off,(金を)横領する
slip by,(時などが)いつの間にか過ぎていく
smooth down,〜をなだめる [=calm down]
smooth over,〜を取り繕う、〜を和らげる
snap off,〜をぼきっと折る
snap up,〜を先を争って買う
soak up,(雰囲気などを)楽しむ、(知識などを)吸収する
sort out,〜を整理する [=organize]
sound A out on B,BについてAの意向を打診する
sound off,まくし立てる
spin off,〜を副産物として生み出す、(会社・資産などを)分離独立させる
spoil for,〜をしきりに求める
sponge off,(親のすねを)かじる、スポンジでふき取る
spring up,急に起こる、現れる
