thrive [θraɪv],"成功する [= be successful, do well]、繁栄する [= prosper]（⇔decline, wither）"
grind [graɪnd],（コーヒー豆など）を挽く
confiscate [kɑ(ː)nfɪskèɪt],"を没収する [= impound, seize]"
derive [dɪráɪv],（〜に）由来する，を（〜から）受け継ぐ〈from〉
detest [dɪtést],をひどく嫌う [= hate]
mock [mɑ(ː)k],"（仕草）をまねる，をからかう [= ridicule, scoff at]"
feign [feɪn],"ふりをする [= pretend, fake, simulate]"
elicit [ɪlísət],を（〜から）引き出す [= draw out]〈from〉
apprehend [æprɪhénd],"を逮捕する [= arrest, capture]，を理解する [= understand]"
commiserate [kəmízərèɪt],（〜を）哀れむ [= sympathize]〈with〉
condone [kəndóʊn],"を許す [= pardon, overlook, forgive]"
epitomize [ɪpítəmaɪz],の典型である [= embody]
fluctuate [flʌ́ktʃuèɪt],変動する，上下する [= undulate]
forgo [fɔːrgóʊ],をなしで済ませる [= do without]，を慎む
frisk [frɪsk],を（衣服の上からさわって）ボディーチェックする，跳ね回る
insulate [ɪ́nsəlèɪt],を（〜から）隔離する [= isolate]〈from〉
liquidate [lɪ́kwɪdèɪt],を清算する [= settle the accounts of]，（会社など）を解散する
meander [miǽndər],（川・道などが）曲がりくねる
meddle [médl],（〜に）干渉する [= interfere]〈in〉
pamper [pǽmpər],を（〜で）甘やかす [= spoil]〈with〉
peruse [pərúːz],を熟読する [= read something especially in a careful way]
pique [piːk],を立腹させる [= offend]，を刺激する [= excite]
plagiarize [pléɪdʒəràɪz],（他人の思想・作品などを〜から）盗用する [= pirate]〈from〉
plummet [plʌ́mɪt],"（真っすぐに）落ちる，急落する [= plunge, fall sharply]（⇔skyrocket）"
rehash [riːhǽʃ],を作り変える [= put into a new idea without significant changes]
implant [ɪmplǽnt],を（〜に）埋め込む [= insert]，（思想など）を（〜に）植えつける [= instill]〈in〉
indoctrinate [ɪndɑ́(ː)ktrɪnèɪt],"に教え込む [= instruct, teach]"
inculcate [ɪnkʌ́lkeɪt],を（〜に）教え込む [= instill]〈into〉
enlighten [ɪnláɪtən],"に（〜について）教える〈on, about, as to〉，を啓発する"
